19VDE1F3XEE414842,"Acura ILX",2014,1,1
1FDEE3FL6EDA29122,"Ford E 350",2014,6,0
1FDRF3B61FEA87469,"Ford Super Duty Pickup",2015,5,0
1FTNF1CF2EKE54305,"Ford F Series Pickup",2014,5,0
1G1JD5SB3E4240835,"Chevrolet Optra",2014,1,0
1GB3KZCG1EF117132,"Chevrolet Silverado",2014,5,0
1HGCR2E3XEA305302,"Honda Accord",2014,2,0
1N4AB7AP2EN855026,"Nissan Sentra",2014,1,0
1N6BA0EJ9EN516565,"Nissan Titan",2014,5,0
1N6BF0KM0EN101134,"Nissan NV",2014,6,0
1VWCH7A3XEC037969,"Volkswagen Passat",2014,2,1
2HGFB2F94FH501940,"Honda Civic",2015,1,0
2T3DFREV0FW317743,"Toyota RAV4",2015,4,0
3MZBM1L74EM109736,"Mazda 3",2014,1,0
3N1CE2CP0FL409472,"Nissan Versa Note",2015,1,0
3N1CN7APXEK444458,"Nissan Versa",2014,1,0
3VW2A7AU1FM012211,"Volkswagen Golf",2015,1,0
4S4BRCFC1E3203823,"Subaru Outback",2014,4,0
4S4BSBF39F3261064,"Subaru Outback",2015,4,0
4S4BSELC0F3325370,"Subaru Outback",2015,4,0
5J6RM4H90FL028629,"Honda CR-V",2015,4,0
5N1AL0MM8EL549388,"Infiniti JX35",2014,4,1
5NPDH4AE2FH565275,"Hyundai Elantra",2015,1,0
5TDBKRFH4ES26D590,"Toyota Highlander",2014,4,0
5XYKT4A75FG610224,"Kia Sorento",2015,4,0
5XYKU4A7XFG622415,"Kia Sorento",2015,4,0
5XYKUDA77EG449709,"Kia Sorento",2014,4,0
JF1GPAA61F8314971,"Subaru Impreza",2015,1,0
JH4KC1F50EC800004,"Acura RLX",2014,3,1
JH4KC1F56EC000095,"Acura RLX",2014,3,1
JM1BM1V35E1210570,"Mazda 3",2014,1,0
JM3KE4DY4F0441471,"Mazda CX5",2015,4,0
JM3TB3DV0E0015742,"Mazda CX9",2014,4,0
JN8AS5MV0FW760408,"Nissan Rogue Select",2015,4,0
JTEZUEJR7E5081641,"Toyota 4Runner",2014,4,0
JTHBW1GG1F120DU53,"Lexus ES 300h",2015,2,1
JTHCE1BL3F151DE04,"Lexus GS 350",2015,2,1
JTHDL5EF9F5007221,"Lexus LS 460",2015,3,1
JTHFF2C26F135BX45,"Lexus IS 250C",2015,1,1
JTJHY7AX2F120EA11,"Lexus LX 570",2015,4,1
JTJJM7FX2E152CD75,"Lexus GX460",2014,4,1
JTMBFREV1FJ019885,"Toyota RAV4",2015,4,0
KM8SN4HF0FU107203,"Hyundai Santa Fe",2015,4,0
KMHJT3AF1FU028211,"Hyundai Tucson",2015,4,0
KMHTC6AD8EU998631,"Hyundai Veloster",2014,1,0
KNAFZ4A86E5195865,"KIA Sportage",2014,4,0
KNAFZ4A86E5195895,"KIA Forte",2014,1,0
KNAGN4AD2F5084324,"Kia Optima Hybrid",2015,2,0
KNALN4D75E5A57351,"Kia Cadenza",2014,3,0
KNALU4D42F6025717,"Kia K900",2015,3,0
KNDPCCA65F7791085,"KIA Sportage",2015,4,0
WA1LGAFE8ED001506,"Audi Q7",2014,4,1
WAU32AFD8FN005740,"Audi A8",2015,3,1
WAUTFAFH0E0010613,"Audi A5",2014,1,1
WBA3A9G51ENN73366,"BMW 3 Series",2014,1,1
WBA3B9C59EP458859,"BMW 3 Series",2014,1,1
WBAVL1C57EVR93286,"BMW X1",2014,4,1
WDCGG0EB0EG188709,"Mercedes_Benz GLK",2014,1,1
YV440MDD6F2617077,"Volvo XC60",2015,4,1
YV4940NB5F1191453,"Volvo XC70",2015,4,1
